Sample,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
GRAULA9 TL1,5.396079206592703,0.0,2.6131304556980868,0.0,0.0,0.0,0.034941889899890805,0.491596905117137,0.30013641452852696,1.223077801972345,10.058962673808688
GRAULA9 TL1,5.190183882464094,0.0,2.610688374161141,0.0,0.025569929404133374,0.0,0.005639471969091223,0.5586345462544288,0.325499480033086,1.8764420429676705,10.592657727253645
GRAULA9 TL2,5.062690787761196,0.0,2.985196925868639,0.0,0.019551696623696827,0.0,0.005318222952921505,0.6659937022642669,0.20438198852549103,1.1879851425183388,10.131118466514547
GRAULA9 TL2,5.380932850253039,0.0,2.70576326424003,0.0,0.0,0.0,0.0,0.7343580594599988,0.12930748854789345,0.7609551987998678,9.711316861300828
PCO 4,4.668637783748586,0.0,3.3732548985025277,0.0,0.0,0.0,0.0,0.834847956288333,0.43869779193946085,1.0972904649819435,10.412728895460852
PCO 4,4.62475982895099,0.0,3.4191742856131238,0.0,0.0,0.0,0.0,0.8099224014019223,0.5052909458626236,1.1183020786902045,10.477449540518863
PCO 4,4.803521149903853,0.0,3.220512575275895,0.0,0.0,0.0,0.0,0.731500698559996,0.4865748607730685,1.1748014166638419,10.416910701176654
PCO 4,4.81698104128188,0.023749809031199526,3.245148877619552,0.0,0.0,0.0,0.0,0.7000631282846422,0.44478903405319736,1.0567146752665406,10.287446565537012
PCO 4,4.806441114220221,0.0,3.1550674675987915,0.0,0.0,0.0,0.0,0.7240178073190479,0.6696226665239237,1.1913748591607274,10.546523914822712
PCO 4,4.781500843249392,0.0,3.242650865379239,0.0,0.0,0.0,0.0,0.7323071870052688,0.49325153418423967,1.188178122669931,10.43788855248807
PCO 4,4.873875875119424,0.0,3.134310316633325,0.0,0.0,0.017807910764237513,0.0,0.7296876406105438,0.540727108924474,1.0658473379482902,10.362256190000293
PCO 2,4.122768991124199,0.0,3.8247750489230805,0.0,0.0,0.0,0.0,0.9577085970673176,0.688970437936043,1.4302112566632847,11.024434331713923
PCO 2,4.543517870548804,0.0,3.410337973977866,0.0,0.0,0.0,0.0,0.7574940712621875,0.7873800118146165,1.292546441532205,10.791276369135677
PCO 2,4.76994499555742,0.0,3.225579747894401,0.0,0.01525579539968509,0.0,0.0,0.5615154983847825,0.8177514532433486,1.2569309378751519,10.646978428354789
PCO 2,4.710960589115975,0.0,3.2653062716389227,0.0,0.0,0.0,0.0,0.7384034642231357,0.6150885874042624,1.2683433127687986,10.598102225151095
PCO 2,4.621850088641013,0.0,3.4015698610256697,0.0,0.0,0.0,0.0,0.7812748289262303,0.5631853598989516,1.1821550446075244,10.55003518309939
PCO 2,4.549018542624521,0.0,3.425405302832318,0.0,0.0,0.0,0.0,0.7070047897170826,0.7313935111531669,1.382306830417628,10.795128976744715
PCO 2,4.760693075046852,0.0,3.2192206704981667,0.0,0.0,0.0,0.0,0.7135464218830707,0.6345841487578123,1.2378886957941357,10.565933011980036
ANZ-2 pumice 4,5.64985775332153,0.0,2.4318255428724838,0.0,0.025641059188211374,0.0,0.027642518023540598,0.139918040798085,0.770314368240099,0.9227336946484446,9.967932977092396
ANZ-2 pumice 4,5.632209054611371,0.0,2.3894064222027835,0.0,0.0,0.0,0.0048123243436084765,0.11189155650347803,1.0097285308721096,1.0598082223798795,10.207856110913232
ANZ-2 pumice 4,5.46893683142252,0.0,2.4254192937715007,0.0,0.0,0.0,0.0,0.11482831360276616,1.4029362381002992,1.2154019276895784,10.627522604586664
ANZ-2 pumice 4,5.750343340098434,0.0,2.435112179466115,0.0,0.022893481321455165,0.0,0.0,0.12024733218686694,0.505906386512885,0.8782086063569366,9.712711325942694
ANZ_A1 Pum 1,5.767835027643517,0.0,2.1882360661712226,0.0,0.028780394016979714,0.0,0.0,0.13768222596388202,0.8780888914602046,1.124157165473357,10.124779770729162
ANZ_A1 Pum 1,5.917098816846735,0.0,2.0981797510855893,0.0,0.026181354308879523,0.015897857947175176,0.005023259032718037,0.10500006703004629,0.7586722600101589,0.9480067883996164,9.874060154660919
ANZ_A1 Pum 1,5.745871429139035,0.0,2.247343280289516,0.0,0.025622232817627894,0.0,0.0,0.10360299915308462,0.9474783806987593,1.0429333651174975,10.11285168721552
ANZ_A1 Pum 2,4.855703066402936,0.0,3.3131854283725928,0.0,0.0,0.0,0.008318904421399594,0.4459943397334793,0.923666795747906,0.8053381652128118,10.352206699891124
ANZ_A1 Pum 2,4.915493050230219,0.08696267453365396,3.1365382137129942,0.0,0.0,0.0,0.00837577673192263,0.4018172585031853,0.9291389600775308,0.8310374292577777,10.309363363047282
ANZ_A1 Pum 2,5.722602055568536,0.0,2.3277779824602773,0.0,0.03197854464693802,0.0,0.004418116075762515,0.08789373630296507,0.8110804226819242,1.0346180689648274,10.020368926701227
ANZ_A1 Pum 2,5.211927803718518,0.0,2.9252690600103817,0.0,0.0,0.0,0.009605407519219376,0.3012906878696738,0.9192156760595596,0.8354737382574459,10.202782373434799
ANZ_A1 Pum 3,5.7570728061477,0.0,2.283204670448056,0.0,0.0,0.0,0.0,0.09801956379648566,0.9025675206673197,1.0234881158047417,10.064352676864305
