Sample,sSi,sTi,sAl,sCr,sFe3,sMn,sMg,sCa,sNa,sK,sTotal
05-BRI BT Pum 3,0.02130735407539746,0.0,0.025033436214633192,0.0,0.0,0.0,0.0,0.008378377746416572,0.026893672027920278,0.03572237862842452,0.03348275447532097
05-BRI BT Pum 3,0.021688125045280147,0.0,0.026717305307524197,0.0,0.0,0.0,0.004546345120267486,0.014073110071595497,0.01779093261571883,0.02342706228800182,0.023482483810907492
05-BRI BT Pum1,0.02154144256774597,0.0,0.025207878004065418,0.0,0.0,0.0,0.0,0.008330386018975549,0.029651532890734526,0.03670633819157598,0.03510328491984892
05-BRI BT Pum1,0.021445675971661377,0.0,0.025131188562418413,0.0,0.0,0.0,0.0,0.009304451963696832,0.02831783177485315,0.036326529333023196,0.03436050195508879
05-BRI BT Pum1,0.02175911132317257,0.0,0.025498916605415707,0.0,0.0,0.0,0.0038067826789654736,0.008904399429097244,0.02984034392638102,0.03557906421039882,0.034669569204069745
05-BRI BT Pum1,0.021718595363674275,0.0,0.025497621729271402,0.0,0.0,0.0,0.0,0.008516149596806641,0.029140918047233736,0.03669202397358762,0.03491325774115
05-BRI BT Pum1,0.022031787226294917,0.0,0.02567724727495113,0.0,0.0,0.0,0.0,0.010391266038212466,0.031006092729896358,0.03654720516269841,0.03571593933216368
05-BRI BT vitmat5,0.022246630197703628,0.0,0.025601573566790246,0.0,0.0,0.012119393391444093,0.0,0.006884512416061309,0.028351591471278744,0.03822374605256502,0.03572499610867359
05-BRI BT vitmat5,0.020251964133414863,0.0,0.02386823610416474,0.0,0.0,0.0,0.0,0.006883745300971485,0.02887376528839598,0.03170199204488236,0.03201331875167242
05-BRI BT vitmat5,0.023109216843526133,0.0,0.02562362428208463,0.0,0.01418174866062421,0.0,0.0,0.007707637535564085,0.029017677143457734,0.0381184303122459,0.03563397966694303
NYT 2 Phil 1,0.02337559518176858,0.0,0.026391398671563936,0.0,0.0,0.0,0.0,0.026249541669184615,0.015094864908026273,0.033543813894718486,0.029805246513270243
NYT 2 Phil 1,0.024152514077132186,0.0,0.026325742344683625,0.0,0.014920315863441135,0.0,0.0,0.02575920010574674,0.014401897329941587,0.03136054787517652,0.02827479023017518
NYT 2 Phil 2,0.024358830940614983,0.0,0.027364117837006197,0.0,0.0,0.0,0.0061868081362737954,0.030613831416485653,0.016225387860580438,0.019643524611028317,0.024239352207407076
NYT 2 Phil 3,0.023313568952836355,0.0,0.026656422119032987,0.0,0.0,0.0,0.0,0.026304686175475035,0.012594518040037448,0.03247340226684582,0.028549222362278682
NYT 2 Phil 3,0.02399119543016603,0.0,0.027394960647240247,0.0,0.0,0.0,0.0,0.02728505742302419,0.012960618900115657,0.03368816541374628,0.029552145482608018
